unix_time,moisture,temp_c
1788882890,718,23.50
1788883190,706,23.60
1788883490,701,23.60
1788883789,715,23.60
1788884089,721,23.50
1788884388,718,23.60
1788884688,723,24.32
1788884987,728,24.01
1788885286,749,24.01
1788885585,749,23.91
1788885884,713,24.22
1788886183,752,24.32
1788886481,702,24.32
1788886779,754,24.53
1788887078,763,24.22
1788887376,703,23.81
1788887674,710,24.74
1788887972,763,24.42
1788888270,754,24.63
1788888567,730,24.84
1788888865,728,24.84
1788889162,743,24.94
1788889460,727,24.94
1788889757,725,24.84
1788890054,750,25.15
1788890351,716,25.04
1788890648,728,25.25
1788890945,739,25.25
1788891242,741,25.15
1788891538,719,25.15
1788891835,758,25.35
1788892131,753,25.87
1788892427,742,25.66
1788892723,695,25.66
1788893019,726,25.46
1788893315,698,26.08
1788893611,736,25.66
1788893906,705,25.66
1788894201,739,26.28
1788894497,724,25.77
1788894792,716,26.17
1788895087,716,25.98
1788895381,707,26.28
1788895676,724,26.28
1788895970,717,26.49
1788896264,728,26.59
1788896558,753,26.90
1788896852,748,26.90
1788897145,763,26.90
1788897438,740,27.00
1788897731,756,27.31
1788898023,709,27.41
1788898316,702,27.41
1788898608,721,27.11
1788898900,699,27.52
1788899192,711,27.94
1788899484,729,27.73
1788899776,719,27.73
1788900067,768,27.94
1788900358,723,27.94
1788900650,707,28.04
1788900941,706,28.14
1788901232,750,28.35
1788901523,707,28.24
1788901814,719,28.04
1788902105,761,28.24
1788902396,704,27.21
1788902689,704,26.59
1788902982,696,26.08
1788903275,715,25.66
1788903570,702,25.15
1788903864,718,25.15
1788904160,716,24.74
1788904455,695,24.63
1788904751,695,24.42
1788905047,719,24.42
1788905344,710,24.11
1788905641,694,24.22
1788905938,749,24.22
1788906235,723,23.70
1788906533,697,23.81
1788906830,723,24.01
1788907128,720,23.70
1788907425,705,23.81
1788907722,742,24.42
1788908019,710,24.94
1788908315,733,24.53
1788908611,727,23.91
1788908908,725,23.81
1788909206,703,23.81
1788909503,699,23.60
1788909801,718,23.40
1788910100,743,23.18
1788910398,728,23.50
1788910697,750,23.60
1788910996,715,23.60
1788911295,706,23.29
1788911594,719,22.88
1788911893,716,23.18
1788912192,735,23.70
1788912490,719,24.11
1788912788,710,23.81
1788913086,723,24.01
1788913383,697,24.22
1788913680,698,24.63
1788913977,702,24.74
1788914274,715,24.63
1788914571,691,24.63
1788914867,716,24.84
1788915164,701,25.15
1788915461,754,25.04
1788915757,726,24.84
1788916053,706,25.04
1788916350,716,24.84
1788916646,702,25.04
1788916943,714,25.35
1788917239,740,24.94
1788917535,732,25.04
1788917831,700,25.15
1788918128,701,25.46
1788918424,724,25.35
1788918720,721,25.46
1788919016,702,25.66
1788919312,710,25.35
1788919608,706,25.35
1788919904,700,25.77
1788920200,703,25.46
1788920495,754,25.87
1788920791,723,26.28
1788921087,746,25.56
1788921382,724,25.87
1788921678,719,25.66
1788921974,700,25.98
1788922269,706,26.17
1788922565,742,25.56
1788922861,731,26.17
1788923156,700,25.98
1788923452,743,26.17
1788923748,699,26.08
1788924043,741,26.17
1788924339,709,25.98
1788924634,706,25.87
1788924930,713,25.98
1788925226,740,25.98
1788925522,712,26.28
1788925817,708,26.17
1788926113,700,26.49
1788926408,703,25.87
1788926704,752,26.17
1788927000,740,26.38
1788927295,704,25.98
1788927591,702,26.38
1788927887,698,26.17
1788928183,722,26.08
1788928478,697,25.98
1788928774,693,25.98
1788929070,711,25.98
1788929366,726,26.59
1788929662,711,25.98
1788929957,706,26.38
1788930253,697,26.28
1788930549,718,26.38
1788930845,727,26.17
1788931141,760,26.38
1788931437,728,25.98
1788931733,731,26.08
1788932029,762,26.28
1788932325,742,25.87
1788932621,700,25.98
1788932917,747,26.08
1788933213,695,26.17
1788933509,752,26.17
1788933805,715,26.17
1788934101,712,26.28
1788934398,699,26.28
1788934694,732,26.38
1788934990,728,26.08
1788935286,702,26.28
1788935582,702,25.77
1788935878,751,26.08
1788936175,755,26.08
1788936471,761,25.77
1788936767,716,25.77
1788937063,702,25.98
1788937360,758,26.38
1788937656,759,26.17
1788937952,702,26.08
1788938249,744,26.49
1788938545,750,25.77
1788938842,701,26.08
